id_batalla,id_temporada,id_arena
415,T4,54000001
416,T5,54000002
417,T6,54000003
418,T7,54000004
419,T8,54000005
420,T9,54000006
421,T10,54000007
422,T1,54000008
423,T2,54000009
424,T3,54000010
425,T4,54000011
426,T5,54000012
427,T6,54000013
428,T7,54000014
429,T8,54000015
430,T9,54000016
431,T10,54000017
432,T1,54000018
433,T2,54000019
434,T3,54000020
435,T4,54000021
436,T5,54000022
437,T6,54000023
438,T7,54000024
439,T8,54000025
440,T9,54000026
441,T10,54000027
442,T1,54000028
443,T2,54000029
444,T3,54000030
445,T4,54000031
446,T5,54000032
447,T6,54000033
448,T7,54000034
449,T8,54000035
450,T9,54000036
451,T10,54000037
452,T1,54000038
453,T2,54000039
454,T3,54000040
455,T4,54000041
456,T5,54000042
457,T6,54000043
458,T7,54000044
459,T8,54000045
460,T9,54000046
461,T10,54000047
462,T1,54000048
463,T2,54000049
464,T3,54000050
465,T4,54000051
466,T5,54000052
467,T6,54000053
468,T7,54000054
469,T8,54000055
470,T9,54000056
471,T10,54000057
472,T1,54000058
473,T2,54000000
474,T3,54000001
475,T4,54000002
476,T5,54000003
477,T6,54000004
478,T7,54000005
479,T8,54000006
480,T9,54000007
481,T10,54000008
482,T1,54000009
483,T2,54000010
484,T3,54000011
485,T4,54000012
486,T5,54000013
487,T6,54000014
488,T7,54000015
489,T8,54000016
490,T9,54000017
491,T10,54000018
492,T1,54000019
493,T2,54000020
494,T3,54000021
495,T4,54000022
496,T5,54000023
497,T6,54000024
498,T7,54000025
499,T8,54000026
500,T9,54000027
501,T10,54000028
502,T1,54000029
503,T2,54000030
504,T3,54000031
505,T4,54000032
506,T5,54000033
507,T6,54000034
508,T7,54000035
509,T8,54000036
510,T9,54000037
511,T10,54000038
512,T1,54000039
513,T2,54000040
514,T3,54000041
515,T4,54000042
516,T5,54000043
517,T6,54000044
518,T7,54000045
519,T8,54000046
520,T9,54000047
521,T10,54000048
522,T1,54000049
523,T2,54000050
524,T3,54000051
525,T4,54000052
526,T5,54000053
527,T6,54000054
528,T7,54000055
529,T8,54000056
530,T9,54000057
531,T10,54000058
532,T1,54000000
533,T2,54000001
534,T3,54000002
535,T4,54000003
536,T5,54000004
537,T6,54000005
538,T7,54000006
539,T8,54000007
540,T9,54000008
541,T10,54000009
542,T1,54000010
543,T2,54000011
544,T3,54000012
545,T4,54000013
546,T5,54000014
547,T6,54000015
548,T7,54000016
549,T1,54000017
550,T2,54000018
551,T3,54000019
552,T4,54000020
553,T5,54000021
554,T6,54000022
555,T7,54000023
556,T8,54000024
557,T9,54000025
558,T10,54000026
559,T1,54000027
560,T2,54000028
561,T3,54000029
562,T4,54000030
563,T5,54000031
564,T6,54000032
565,T7,54000033
566,T8,54000034
567,T9,54000035
568,T10,54000036
569,T1,54000037
570,T2,54000038
571,T3,54000039
572,T4,54000040
573,T5,54000041
574,T6,54000042
575,T7,54000043
576,T8,54000044
577,T9,54000045
578,T10,54000046
579,T1,54000047
580,T2,54000048
581,T3,54000049
582,T4,54000050
583,T5,54000051
584,T6,54000052
585,T7,54000053
586,T8,54000054
587,T9,54000055
588,T10,54000056
589,T1,54000057
590,T2,54000058
591,T3,54000000
592,T4,54000001
593,T5,54000002
594,T6,54000003
595,T7,54000004
596,T8,54000005
597,T9,54000006
598,T10,54000007
599,T1,54000008
600,T2,54000009
601,T3,54000010
602,T4,54000011
603,T5,54000012
604,T6,54000013
605,T7,54000014
606,T8,54000015
607,T9,54000016
608,T10,54000017
609,T1,54000018
610,T2,54000019
611,T3,54000020
612,T4,54000021
613,T5,54000022
614,T6,54000023
615,T7,54000024
616,T8,54000025
617,T9,54000026
618,T10,54000027
619,T1,54000028
620,T2,54000029
621,T3,54000030
622,T4,54000031
623,T5,54000032
624,T6,54000033
625,T7,54000034
626,T8,54000035
627,T9,54000036
628,T10,54000037
629,T1,54000038
630,T2,54000039
631,T3,54000040
632,T4,54000041
633,T5,54000042
634,T6,54000043
635,T7,54000044
636,T8,54000045
637,T9,54000046
638,T10,54000047
639,T1,54000048
640,T2,54000049
641,T3,54000050
642,T4,54000051
643,T5,54000052
644,T6,54000053
645,T7,54000054
646,T8,54000055
647,T9,54000056
648,T10,54000057
649,T1,54000058
650,T2,54000000
651,T3,54000001
652,T4,54000002
653,T5,54000003
654,T6,54000004
655,T7,54000005
656,T8,54000006
657,T9,54000007
658,T10,54000008
659,T1,54000009
660,T2,54000010
661,T3,54000011
662,T4,54000012
663,T5,54000013
664,T6,54000014
665,T7,54000015
666,T8,54000016
667,T9,54000017
668,T10,54000018
669,T1,54000019
670,T2,54000020
671,T3,54000021
672,T4,54000022
673,T5,54000023
674,T6,54000024
675,T7,54000025
676,T8,54000026
677,T9,54000027
678,T10,54000028
679,T1,54000029
680,T2,54000030
681,T3,54000031
682,T4,54000032
683,T5,54000033
684,T6,54000034
685,T7,54000035
686,T1,54000036
687,T2,54000037
688,T3,54000038
689,T4,54000039
690,T5,54000040
691,T6,54000041
692,T7,54000042
693,T8,54000043
694,T9,54000044
695,T10,54000045
696,T1,54000046
697,T2,54000047
698,T3,54000048
699,T4,54000049
700,T5,54000050
701,T6,54000051
702,T7,54000052
703,T8,54000053
704,T9,54000054
705,T10,54000055
706,T1,54000056
707,T2,54000057
708,T3,54000058
709,T4,54000000
710,T5,54000001
711,T6,54000002
712,T7,54000003
713,T8,54000004
714,T9,54000005
715,T10,54000006
716,T1,54000007
717,T2,54000008
718,T3,54000009
719,T4,54000010
720,T5,54000011
721,T6,54000012
722,T7,54000013
723,T8,54000014
724,T9,54000015
725,T10,54000016
726,T1,54000017
727,T2,54000018
728,T3,54000019
729,T4,54000020
730,T5,54000021
731,T6,54000022
732,T7,54000023
733,T8,54000024
734,T9,54000025
735,T10,54000026
736,T1,54000027
737,T2,54000028
738,T3,54000029
739,T4,54000030
740,T5,54000031
741,T6,54000032
742,T7,54000033
743,T8,54000034
744,T9,54000035
745,T10,54000036
746,T1,54000037
747,T2,54000038
748,T3,54000039
749,T4,54000040
750,T5,54000041
751,T6,54000042
752,T7,54000043
753,T8,54000044
754,T9,54000045
755,T10,54000046
756,T1,54000047
757,T2,54000048
758,T3,54000049
759,T4,54000050
760,T5,54000051
761,T6,54000052
762,T7,54000053
763,T8,54000054
764,T9,54000055
765,T10,54000056
766,T1,54000057
767,T2,54000058
768,T3,54000000
769,T4,54000001
770,T5,54000002
771,T6,54000003
772,T7,54000004
773,T8,54000005
774,T9,54000006
775,T10,54000007
776,T1,54000008
777,T2,54000009
778,T3,54000010
779,T4,54000011
780,T5,54000012
781,T6,54000013
782,T7,54000014
783,T8,54000015
784,T9,54000016
785,T10,54000017
786,T1,54000018
787,T2,54000019
788,T3,54000020
789,T4,54000021
790,T5,54000022
791,T6,54000023
792,T7,54000024
793,T8,54000025
794,T9,54000026
795,T10,54000027
796,T1,54000028
797,T2,54000029
798,T3,54000030
799,T4,54000031
800,T5,54000032
801,T6,54000033
802,T7,54000034
803,T8,54000035
804,T9,54000036
805,T10,54000037
806,T1,54000038
807,T2,54000039
808,T3,54000040
809,T4,54000041
810,T5,54000042
811,T6,54000043
812,T7,54000044
813,T8,54000045
814,T9,54000046
815,T10,54000047
816,T1,54000048
817,T2,54000049
818,T3,54000050
819,T4,54000051
820,T5,54000052
821,T6,54000053
822,T7,54000054
823,T1,54000055
824,T2,54000056
825,T3,54000057
826,T4,54000058
827,T5,54000000
828,T6,54000001
829,T7,54000002
830,T8,54000003
831,T9,54000004
832,T10,54000005
833,T1,54000006
834,T2,54000007
835,T3,54000008
836,T4,54000009
837,T5,54000010
838,T6,54000011
839,T7,54000012
840,T8,54000013
841,T9,54000014
842,T10,54000015
843,T1,54000016
844,T2,54000017
845,T3,54000018
846,T4,54000019
847,T5,54000020
848,T6,54000021
849,T7,54000022
850,T8,54000023
851,T9,54000024
852,T10,54000025
853,T1,54000026
854,T2,54000027
855,T3,54000028
856,T4,54000029
857,T5,54000030
858,T6,54000031
859,T7,54000032
860,T8,54000033
861,T9,54000034
862,T10,54000035
863,T1,54000036
864,T2,54000037
865,T3,54000038
866,T4,54000039
867,T5,54000040
868,T6,54000041
869,T7,54000042
870,T8,54000043
871,T9,54000044
872,T10,54000045
873,T1,54000046
874,T2,54000047
875,T3,54000048
876,T4,54000049
877,T5,54000050
878,T6,54000051
879,T7,54000052
880,T8,54000053
881,T9,54000054
882,T10,54000055
883,T1,54000056
884,T2,54000057
885,T3,54000058
886,T4,54000000
887,T5,54000001
888,T6,54000002
889,T7,54000003
890,T8,54000004
891,T9,54000005
892,T10,54000006
893,T1,54000007
894,T2,54000008
895,T3,54000009
896,T4,54000010
897,T5,54000011
898,T6,54000012
899,T7,54000013
900,T8,54000014
901,T9,54000015
902,T10,54000016
903,T1,54000017
904,T2,54000018
905,T3,54000019
906,T4,54000020
907,T5,54000021
908,T6,54000022
909,T7,54000023
910,T8,54000024
911,T9,54000025
912,T10,54000026
913,T1,54000027
914,T2,54000028
915,T3,54000029
916,T4,54000030
917,T5,54000031
918,T6,54000032
919,T7,54000033
920,T8,54000034
921,T9,54000035
922,T10,54000036
923,T1,54000037
924,T2,54000038
925,T3,54000039
926,T4,54000040
927,T5,54000041
928,T6,54000042
929,T7,54000043
930,T8,54000044
931,T9,54000045
932,T10,54000046
933,T1,54000047
934,T2,54000048
935,T3,54000049
936,T4,54000050
937,T5,54000051
938,T6,54000052
939,T7,54000053
940,T8,54000054
941,T9,54000055
942,T10,54000056
943,T1,54000057
944,T2,54000058
945,T3,54000000
946,T4,54000001
947,T5,54000002
948,T6,54000003
949,T7,54000004
950,T8,54000005
951,T9,54000006
952,T10,54000007
953,T1,54000008
954,T2,54000009
955,T3,54000010
956,T4,54000011
957,T5,54000012
958,T6,54000013
959,T7,54000014
960,T1,54000015
961,T2,54000016
962,T3,54000017
963,T4,54000018
964,T5,54000019
965,T6,54000020
966,T7,54000021
967,T8,54000022
968,T9,54000023
969,T10,54000024
970,T1,54000025
971,T2,54000026
972,T3,54000027
973,T4,54000028
974,T5,54000029
975,T6,54000030
976,T7,54000031
977,T8,54000032
978,T9,54000033
979,T10,54000034
980,T1,54000035
981,T2,54000036
982,T3,54000037
983,T4,54000038
984,T5,54000039
985,T6,54000040
986,T7,54000041
987,T8,54000042
988,T9,54000043
989,T10,54000044
990,T1,54000045
991,T2,54000046
992,T3,54000047
993,T4,54000048
994,T5,54000049
995,T6,54000050
996,T7,54000051
997,T8,54000052
998,T9,54000053
999,T10,54000054
1000,T1,54000055
1001,T2,54000056
1002,T3,54000057
1003,T4,54000058
1004,T5,54000000
1005,T6,54000001
1006,T7,54000002
1007,T8,54000003
1008,T9,54000004
1009,T10,54000005
1010,T1,54000006
1011,T2,54000007
1012,T3,54000008
1013,T4,54000009
1014,T5,54000010
1015,T6,54000011
1016,T7,54000012
1017,T8,54000013
1018,T9,54000014
1019,T10,54000015
1020,T1,54000016
1021,T2,54000017
1022,T3,54000018
1023,T4,54000019
1024,T5,54000020
1025,T6,54000021
1026,T7,54000022
1027,T8,54000023
1028,T9,54000024
1029,T10,54000025
1030,T1,54000026
1031,T2,54000027
1032,T3,54000028
1033,T4,54000029
1034,T5,54000030
1035,T6,54000031
1036,T7,54000032
1037,T8,54000033
1038,T9,54000034
1039,T10,54000035
1040,T1,54000036
1041,T2,54000037
1042,T3,54000038
1043,T4,54000039
1044,T5,54000040
1045,T6,54000041
1046,T7,54000042
1047,T8,54000043
1048,T9,54000044
1049,T10,54000045
1050,T1,54000046
1051,T2,54000047
1052,T3,54000048
1053,T4,54000049
1054,T5,54000050
1055,T6,54000051
1056,T7,54000052
1057,T8,54000053
1058,T9,54000054
1059,T10,54000055
1060,T1,54000056
1061,T2,54000057
1062,T3,54000058
1063,T4,54000000
1064,T5,54000001
1065,T6,54000002
1066,T7,54000003
1067,T8,54000004
1068,T9,54000005
1069,T10,54000006
1070,T1,54000007
1071,T2,54000008
1072,T3,54000009
1073,T4,54000010
1074,T5,54000011
1075,T6,54000012
1076,T7,54000013
1077,T8,54000014
1078,T9,54000015
1079,T10,54000016
1080,T1,54000017
1081,T2,54000018
1082,T3,54000019
1083,T4,54000020
1084,T5,54000021
1085,T6,54000022
1086,T7,54000023
1087,T8,54000024
1088,T9,54000025
1089,T10,54000026
1090,T1,54000027
1091,T2,54000028
1092,T3,54000029
1093,T4,54000030
1094,T5,54000031
1095,T6,54000032
1096,T7,54000033
1097,T1,54000034
1098,T2,54000035
1099,T3,54000036
1100,T4,54000037
1101,T5,54000038
1102,T6,54000039
1103,T7,54000040
1104,T8,54000041
1105,T9,54000042
1106,T10,54000043
1107,T1,54000044
1108,T2,54000045
1109,T3,54000046
1110,T4,54000047
1111,T5,54000048
1112,T6,54000049
1113,T7,54000050
1114,T8,54000051
1115,T9,54000052
1116,T10,54000053
1117,T1,54000054
1118,T2,54000055
1119,T3,54000056
1120,T4,54000057
1121,T5,54000058
1122,T6,54000000
1123,T7,54000001
1124,T8,54000002
1125,T9,54000003
1126,T10,54000004
1127,T1,54000005
1128,T2,54000006
1129,T3,54000007
1130,T4,54000008
1131,T5,54000009
1132,T6,54000010
1133,T7,54000011
1134,T8,54000012
1135,T9,54000013
1136,T10,54000014
1137,T1,54000015
1138,T2,54000016
1139,T3,54000017
1140,T4,54000018
1141,T5,54000019
1142,T6,54000020
1143,T7,54000021
1144,T8,54000022
1145,T9,54000023
1146,T10,54000024
1147,T1,54000025
1148,T2,54000026
1149,T3,54000027
1150,T4,54000028
1151,T5,54000029
1152,T6,54000030
1153,T7,54000031
1154,T8,54000032
1155,T9,54000033
1156,T10,54000034
1157,T1,54000035
1158,T2,54000036
1159,T3,54000037
1160,T4,54000038
1161,T5,54000039
1162,T6,54000040
1163,T7,54000041
1164,T8,54000042
1165,T9,54000043
1166,T10,54000044
1167,T1,54000045
1168,T2,54000046
1169,T3,54000047
1170,T4,54000048
1171,T5,54000049
1172,T6,54000050
1173,T7,54000051
1174,T8,54000052
1175,T9,54000053
1176,T10,54000054
1177,T1,54000055
1178,T2,54000056
1179,T3,54000057
1180,T4,54000058
1181,T5,54000000
1182,T6,54000001
1183,T7,54000002
1184,T8,54000003
1185,T9,54000004
1186,T10,54000005
1187,T1,54000006
1188,T2,54000007
1189,T3,54000008
1190,T4,54000009
1191,T5,54000010
1192,T6,54000011
1193,T7,54000012
1194,T8,54000013
1195,T9,54000014
1196,T10,54000015
1197,T1,54000016
1198,T2,54000017
1199,T3,54000018
1200,T4,54000019
1201,T5,54000020
1202,T6,54000021
1203,T7,54000022
1204,T8,54000023
1205,T9,54000024
1206,T10,54000025
1207,T1,54000026
1208,T2,54000027
1209,T3,54000028
1210,T4,54000029
1211,T5,54000030
1212,T6,54000031
1213,T7,54000032
1214,T8,54000033
1215,T9,54000034
1216,T10,54000035
1217,T1,54000036
1218,T2,54000037
1219,T3,54000038
1220,T4,54000039
1221,T5,54000040
1222,T6,54000041
1223,T7,54000042
1224,T8,54000043
1225,T9,54000044
1226,T10,54000045
1227,T1,54000046
1228,T2,54000047
1229,T3,54000048
1230,T4,54000049
1231,T5,54000050
1232,T6,54000051
1233,T7,54000052
1234,T1,54000053
1235,T2,54000054
1236,T3,54000055
1237,T4,54000056
1238,T5,54000057
1239,T6,54000058
1240,T7,54000000
1241,T8,54000001
1242,T9,54000002
1243,T10,54000003
1244,T1,54000004
1245,T2,54000005
1246,T3,54000006
1247,T4,54000007
1248,T5,54000008
1249,T6,54000009
1250,T7,54000010
1251,T8,54000011
1252,T9,54000012
1253,T10,54000013
1254,T1,54000014
1255,T2,54000015
1256,T3,54000016
1257,T4,54000017
1258,T5,54000018
1259,T6,54000019
1260,T7,54000020
1261,T8,54000021
1262,T9,54000022
1263,T10,54000023
1264,T1,54000024
1265,T2,54000025
1266,T3,54000026
1267,T4,54000027
1268,T5,54000028
1269,T6,54000029
1270,T7,54000030
1271,T8,54000031
1272,T9,54000032
1273,T10,54000033
1274,T1,54000034
1275,T2,54000035
1276,T3,54000036
1277,T4,54000037
1278,T5,54000038
1279,T6,54000039
1280,T7,54000040
1281,T8,54000041
1282,T9,54000042
1283,T10,54000043
1284,T1,54000044
1285,T2,54000045
1286,T3,54000046
1287,T4,54000047
1288,T5,54000048
1289,T6,54000049
1290,T7,54000050
1291,T8,54000051
1292,T9,54000052
1293,T10,54000053
1294,T1,54000054
1295,T2,54000055
1296,T3,54000056
1297,T4,54000057
1298,T5,54000058
1299,T6,54000000
1300,T7,54000001
1301,T8,54000002
1302,T9,54000003
1303,T10,54000004
1304,T1,54000005
1305,T2,54000006
1306,T3,54000007
1307,T4,54000008
1308,T5,54000009
1309,T6,54000010
1310,T7,54000011
1311,T8,54000012
1312,T9,54000013
1313,T10,54000014
1314,T1,54000015
1315,T2,54000016
1316,T3,54000017
1317,T4,54000018
1318,T5,54000019
1319,T6,54000020
1320,T7,54000021
1321,T8,54000022
1322,T9,54000023
1323,T10,54000024
1324,T1,54000025
1325,T2,54000026
1326,T3,54000027
1327,T4,54000028
1328,T5,54000029
1329,T6,54000030
1330,T7,54000031
1331,T8,54000032
1332,T9,54000033
1333,T10,54000034
1334,T1,54000035
1335,T2,54000036
1336,T3,54000037
1337,T4,54000038
1338,T5,54000039
1339,T6,54000040
1340,T7,54000041
1341,T8,54000042
1342,T9,54000043
1343,T10,54000044
1344,T1,54000045
1345,T2,54000046
1346,T3,54000047
1347,T4,54000048
1348,T5,54000049
1349,T6,54000050
1350,T7,54000051
1351,T8,54000052
1352,T9,54000053
1353,T10,54000054
1354,T1,54000055
1355,T2,54000056
1356,T3,54000057
1357,T4,54000058
1358,T5,54000000
1359,T6,54000001
1360,T7,54000002
1361,T8,54000003
1362,T9,54000004
1363,T10,54000005
1364,T1,54000006
1365,T2,54000007
1366,T3,54000008
1367,T4,54000009
1368,T5,54000010
1369,T6,54000011
1370,T7,54000012
1371,T1,54000013
1372,T2,54000014
1373,T3,54000015
1374,T4,54000016
1375,T5,54000017
1376,T6,54000018
1377,T7,54000019
1378,T8,54000020
1379,T9,54000021
1380,T10,54000022
1381,T1,54000023
1382,T2,54000024
1383,T3,54000025
1384,T4,54000026
1385,T5,54000027
1386,T6,54000028
1387,T7,54000029
1388,T8,54000030
1389,T9,54000031
1390,T10,54000032
1391,T1,54000033
1392,T2,54000034
1393,T3,54000035
1394,T4,54000036
1395,T5,54000037
1396,T6,54000038
1397,T7,54000039
1398,T8,54000040
1399,T9,54000041
1400,T10,54000042
1401,T1,54000043
1402,T2,54000044
1403,T3,54000045
1404,T4,54000046
1405,T5,54000047
1406,T6,54000048
1407,T7,54000049
1408,T8,54000050
1409,T9,54000051
1410,T10,54000052
1411,T1,54000053
1412,T2,54000054
1413,T3,54000055
1414,T4,54000056
1415,T5,54000057
1416,T6,54000058
1417,T7,54000000
1418,T8,54000001
1419,T9,54000002
1420,T10,54000003
1421,T1,54000004
1422,T2,54000005
1423,T3,54000006
1424,T4,54000007
1425,T5,54000008
1426,T6,54000009
1427,T7,54000010
1428,T8,54000011
1429,T9,54000012
1430,T10,54000013
1431,T1,54000014
1432,T2,54000015
1433,T3,54000016
1434,T4,54000017
1435,T5,54000018
1436,T6,54000019
1437,T7,54000020
1438,T8,54000021
1439,T9,54000022
1440,T10,54000023
1441,T1,54000024
1442,T2,54000025
1443,T3,54000026
1444,T4,54000027
1445,T5,54000028
1446,T6,54000029
1447,T7,54000030
1448,T8,54000031
1449,T9,54000032
1450,T10,54000033
1451,T1,54000034
1452,T2,54000035
1453,T3,54000036
1454,T4,54000037
1455,T5,54000038
1456,T6,54000039
1457,T7,54000040
1458,T8,54000041
1459,T9,54000042
1460,T10,54000043
1461,T1,54000044
1462,T2,54000045
1463,T3,54000046
1464,T4,54000047
1465,T5,54000048
1466,T6,54000049
1467,T7,54000050
1468,T8,54000051
1469,T9,54000052
1470,T10,54000053
1471,T1,54000054
1472,T2,54000055
1473,T3,54000056
1474,T4,54000057
1475,T5,54000058
1476,T6,54000000
1477,T7,54000001
1478,T8,54000002
1479,T9,54000003
1480,T10,54000004
1481,T1,54000005
1482,T2,54000006
1483,T3,54000007
1484,T4,54000008
1485,T5,54000009
1486,T6,54000010
1487,T7,54000011
1488,T8,54000012
1489,T9,54000013
1490,T10,54000014
1491,T1,54000015
1492,T2,54000016
1493,T3,54000017
1494,T4,54000018
1495,T5,54000019
1496,T6,54000020
